name,description,temp,tempf,humidity,visibility,windspeed,clouds,time,sunrise,sunset
Kirmington,light rain,11.54,10.53,68,10000,7.2,75,03-21-2023 00:29,06:02:26,18:14:52
Kirmington,moderate rain,10.92,9.92,71,9000,8.23,75,03-21-2023 00:59,06:02:26,18:14:52
Kirmington,light rain,10.78,9.77,71,10000,9.26,75,03-21-2023 01:29,06:02:26,18:14:52
Kirmington,light rain,10.65,9.52,67,10000,8.75,20,03-21-2023 01:59,06:02:26,18:14:52
Kirmington,light rain,10.01,8.92,71,10000,7.72,75,03-21-2023 02:29,06:02:26,18:14:52
Kirmington,light rain,9.89,7.05,71,10000,6.17,20,03-21-2023 02:59,06:02:26,18:14:52
Kirmington,light rain,9.89,7.05,71,10000,6.17,40,03-21-2023 03:29,06:02:26,18:14:52
Kirmington,light rain,9.89,6.89,71,10000,6.69,20,03-21-2023 03:59,06:02:26,18:14:52
Kirmington,broken clouds,9.99,7.02,62,10000,6.69,75,03-21-2023 04:29,06:02:26,18:14:52
Kirmington,broken clouds,9.91,6.91,71,10000,6.69,75,03-21-2023 04:59,06:02:26,18:14:52
Kirmington,overcast clouds,9.91,7.24,71,10000,5.66,100,03-21-2023 05:30,06:02:26,18:14:52
Kirmington,overcast clouds,9.87,7.02,71,10000,6.17,100,03-21-2023 06:00,06:02:26,18:14:52
Kirmington,broken clouds,9.87,6.86,71,10000,6.69,75,03-21-2023 06:30,06:02:26,18:14:52
Kirmington,broken clouds,9.87,7.02,71,10000,6.17,75,03-21-2023 07:00,06:02:26,18:14:52
Kirmington,overcast clouds,10.03,8.94,71,10000,6.17,100,03-21-2023 07:30,06:02:26,18:14:52
Kirmington,overcast clouds,10.12,9.02,70,10000,6.17,100,03-21-2023 08:00,06:02:26,18:14:52
Kirmington,broken clouds,10.7,9.58,67,10000,6.17,75,03-21-2023 08:30,06:02:26,18:14:52
Kirmington,broken clouds,11,9.91,67,10000,6.69,75,03-21-2023 09:00,06:02:26,18:14:52
Kirmington,broken clouds,11.79,10.7,64,10000,8.23,75,03-21-2023 09:30,06:02:26,18:14:52
Kirmington,broken clouds,12.12,11.14,67,10000,8.23,75,03-21-2023 10:00,06:02:26,18:14:52
Kirmington,broken clouds,12.59,11.55,63,10000,10.29,75,03-21-2023 10:30,06:02:26,18:14:52
Kirmington,broken clouds,12.7,11.67,63,10000,9.77,75,03-21-2023 11:00,06:02:26,18:14:52
Kirmington,broken clouds,13.6,12.61,61,10000,10.29,75,03-21-2023 11:30,06:02:26,18:14:52
Kirmington,broken clouds,13.77,12.87,64,10000,10.29,75,03-21-2023 12:00,06:02:26,18:14:52
Kirmington,broken clouds,13.72,13.21,79,10000,11.32,75,03-21-2023 12:29,06:02:26,18:14:52
Kirmington,broken clouds,14.67,13.99,69,10000,10.8,75,03-21-2023 13:00,06:02:26,18:14:52
Kirmington,broken clouds,14.64,13.91,67,10000,10.29,75,03-21-2023 13:29,06:02:26,18:14:52
Kirmington,broken clouds,14.84,14.16,68,10000,10.29,75,03-21-2023 13:59,06:02:26,18:14:52
Kirmington,broken clouds,14.7,13.98,67,10000,9.77,75,03-21-2023 14:29,06:02:26,18:14:52
Kirmington,broken clouds,14.7,14,68,10000,8.75,75,03-21-2023 14:59,06:02:26,18:14:52
Kirmington,broken clouds,14.95,14.15,63,10000,8.75,75,03-21-2023 15:29,06:02:26,18:14:52
Kirmington,broken clouds,13.98,13.26,70,10000,6.17,75,03-21-2023 15:59,06:02:26,18:14:52
Kirmington,broken clouds,13.55,12.89,74,10000,6.69,75,03-21-2023 16:30,06:02:26,18:14:52
Kirmington,broken clouds,13.81,13.07,70,10000,9.26,75,03-21-2023 16:59,06:02:26,18:14:52
Kirmington,scattered clouds,13.57,12.76,68,10000,8.23,40,03-21-2023 17:29,06:02:26,18:14:52
Kirmington,scattered clouds,12.76,11.89,69,10000,8.23,40,03-21-2023 18:00,06:02:26,18:14:52
Kirmington,scattered clouds,12.7,11.91,72,10000,7.2,40,03-21-2023 18:29,06:02:26,18:14:52
Kirmington,broken clouds,12.6,11.77,71,10000,5.14,75,03-21-2023 18:59,06:02:26,18:14:52
Kirmington,overcast clouds,11.9,10.76,62,10000,5.69,94,03-21-2023 19:29,06:02:26,18:14:52
Kirmington,light rain,11.81,10.82,68,10000,6.69,99,03-21-2023 19:59,06:02:26,18:14:52
