name,description,temp,tempf,humidity,visibility,windspeed,clouds,time,sunrise,sunset
Melbourne,light rain,9.31,6.15,93,10000,6.69,75,03-21-2023 00:29,06:06:47,18:18:59
Melbourne,light rain,9.15,5.79,93,10000,7.2,75,03-21-2023 00:59,06:06:47,18:18:59
Melbourne,light rain,9.15,6.11,93,10000,6.17,75,03-21-2023 01:29,06:06:47,18:18:59
Melbourne,light rain,9.15,6.28,93,10000,5.66,75,03-21-2023 01:59,06:06:47,18:18:59
Melbourne,broken clouds,9.02,6.12,93,10000,5.66,75,03-21-2023 02:29,06:06:47,18:18:59
Melbourne,broken clouds,9.02,5.94,93,10000,6.17,75,03-21-2023 02:59,06:06:47,18:18:59
Melbourne,broken clouds,9.15,6.11,93,10000,6.17,75,03-21-2023 03:29,06:06:47,18:18:59
Melbourne,broken clouds,9.15,6.11,93,10000,6.17,75,03-21-2023 03:59,06:06:47,18:18:59
Melbourne,broken clouds,9.15,6.47,93,10000,5.14,75,03-21-2023 04:29,06:06:47,18:18:59
Melbourne,overcast clouds,9.08,6.19,94,10000,5.67,100,03-21-2023 04:59,06:06:47,18:18:59
Melbourne,broken clouds,9.03,5.79,93,10000,6.69,75,03-21-2023 05:30,06:06:47,18:18:59
Melbourne,broken clouds,8.9,5.47,93,10000,7.2,75,03-21-2023 06:00,06:06:47,18:18:59
Melbourne,broken clouds,9.04,5.8,94,10000,6.69,75,03-21-2023 06:30,06:06:47,18:18:59
Melbourne,broken clouds,9.29,5.97,93,6000,7.2,75,03-21-2023 07:00,06:06:47,18:18:59
Melbourne,broken clouds,9.3,6.13,92,9000,6.69,75,03-21-2023 07:30,06:06:47,18:18:59
Melbourne,broken clouds,9.41,6.44,92,10000,6.17,75,03-21-2023 08:00,06:06:47,18:18:59
Melbourne,scattered clouds,9.85,6.84,92,10000,6.69,40,03-21-2023 08:30,06:06:47,18:18:59
Melbourne,scattered clouds,10.34,9.83,92,10000,6.69,40,03-21-2023 09:00,06:06:47,18:18:59
Melbourne,broken clouds,10.48,9.99,92,10000,7.2,75,03-21-2023 09:30,06:06:47,18:18:59
Melbourne,broken clouds,11.18,10.68,89,10000,7.2,75,03-21-2023 10:00,06:06:47,18:18:59
Melbourne,broken clouds,11.55,10.95,84,9000,7.2,75,03-21-2023 10:30,06:06:47,18:18:59
Melbourne,broken clouds,11.99,11.49,86,10000,8.75,75,03-21-2023 11:00,06:06:47,18:18:59
Melbourne,broken clouds,12.73,12.12,79,10000,7.72,75,03-21-2023 11:30,06:06:47,18:18:59
Melbourne,scattered clouds,13.3,12.64,75,10000,7.72,40,03-21-2023 12:00,06:06:47,18:18:59
Melbourne,broken clouds,13.35,12.62,72,10000,8.75,75,03-21-2023 12:29,06:06:47,18:18:59
Melbourne,broken clouds,13.54,12.83,72,10000,8.23,75,03-21-2023 13:00,06:06:47,18:18:59
Melbourne,broken clouds,13.69,13.02,73,10000,8.75,75,03-21-2023 13:29,06:06:47,18:18:59
Melbourne,broken clouds,13.48,12.74,71,10000,8.75,75,03-21-2023 13:59,06:06:47,18:18:59
Melbourne,broken clouds,13.59,12.81,69,10000,7.72,75,03-21-2023 14:29,06:06:47,18:18:59
Melbourne,broken clouds,13.41,12.66,71,10000,9.26,75,03-21-2023 14:59,06:06:47,18:18:59
Melbourne,scattered clouds,13.82,12.93,64,10000,11.83,40,03-21-2023 15:30,06:06:47,18:18:59
Melbourne,scattered clouds,13.42,12.54,66,10000,10.8,40,03-21-2023 15:59,06:06:47,18:18:59
Melbourne,broken clouds,12.82,12.01,71,10000,7.01,84,03-21-2023 16:30,06:06:47,18:18:59
Melbourne,few clouds,12.54,11.65,69,10000,9.77,20,03-21-2023 16:59,06:06:47,18:18:59
Melbourne,scattered clouds,11.95,11.05,71,10000,7.2,40,03-21-2023 17:29,06:06:47,18:18:59
Melbourne,few clouds,11.85,10.89,69,10000,9.26,20,03-21-2023 18:00,06:06:47,18:18:59
Melbourne,clear sky,11.37,10.36,69,10000,8.75,0,03-21-2023 18:29,06:06:47,18:18:59
Melbourne,light rain,11.03,10.04,71,10000,6.17,20,03-21-2023 19:00,06:06:47,18:18:59
Melbourne,light rain,10.85,9.84,71,10000,7.72,20,03-21-2023 19:29,06:06:47,18:18:59
Melbourne,moderate rain,10.78,9.85,74,10000,7.72,0,03-21-2023 19:59,06:06:47,18:18:59
Melbourne,moderate rain,10.56,9.6,74,10000,7.2,40,03-21-2023 20:30,06:06:47,18:18:59
Melbourne,light rain,10.01,9.16,80,10000,6.69,20,03-21-2023 20:59,06:06:47,18:18:59
Melbourne,moderate rain,9.96,6.83,81,10000,7.2,40,03-21-2023 21:29,06:06:47,18:18:59
