name,description,temp,tempf,humidity,visibility,windspeed,clouds,time,sunrise,sunset
Leyburn,broken clouds,9.8,7.95,93,10000,3.6,75,03-21-2023 00:29,06:08:12,18:20:54
Leyburn,broken clouds,9.68,7.55,93,10000,4.12,75,03-21-2023 00:59,06:08:12,18:20:54
Leyburn,overcast clouds,9.64,7.29,93,3400,4.63,100,03-21-2023 01:29,06:08:12,18:20:54
Leyburn,overcast clouds,9.64,7.5,93,10000,4.12,100,03-21-2023 01:59,06:08:12,18:20:54
Leyburn,broken clouds,9.39,6.98,87,10000,4.63,75,03-21-2023 02:29,06:08:12,18:20:54
Leyburn,overcast clouds,9.22,6.99,87,10000,4.12,100,03-21-2023 02:59,06:08:12,18:20:54
Leyburn,overcast clouds,8.83,6.07,87,10000,5.14,100,03-21-2023 03:29,06:08:12,18:20:54
Leyburn,overcast clouds,8.79,6.23,87,10000,4.63,100,03-21-2023 03:59,06:08:12,18:20:54
Leyburn,overcast clouds,8.79,6.23,87,10000,4.63,100,03-21-2023 04:29,06:08:12,18:20:54
Leyburn,overcast clouds,8.79,5.83,87,10000,5.66,100,03-21-2023 04:59,06:08:12,18:20:54
Leyburn,overcast clouds,8.65,5.47,87,10000,6.17,100,03-21-2023 05:30,06:08:12,18:20:54
Leyburn,scattered clouds,8.63,5.82,87,10000,5.14,40,03-21-2023 06:00,06:08:12,18:20:54
Leyburn,broken clouds,8.53,6.4,87,10000,3.6,75,03-21-2023 06:30,06:08:12,18:20:54
Leyburn,overcast clouds,8.59,6.21,87,10000,4.12,100,03-21-2023 07:00,06:08:12,18:20:54
Leyburn,overcast clouds,8.47,5.83,87,10000,4.63,100,03-21-2023 07:30,06:08:12,18:20:54
Leyburn,overcast clouds,8.72,5.93,87,10000,5.14,100,03-21-2023 08:00,06:08:12,18:20:54
Leyburn,broken clouds,8.93,5.83,87,10000,6.17,75,03-21-2023 08:30,06:08:12,18:20:54
Leyburn,broken clouds,9.52,6.41,82,10000,6.69,75,03-21-2023 09:00,06:08:12,18:20:54
Leyburn,broken clouds,9.79,7.47,82,10000,4.63,75,03-21-2023 09:30,06:08:12,18:20:54
Leyburn,light rain,10.6,9.86,82,10000,5.14,75,03-21-2023 10:00,06:08:12,18:20:54
Leyburn,light rain,11.16,10.32,76,10000,6.17,75,03-21-2023 10:30,06:08:12,18:20:54
Leyburn,broken clouds,11.38,10.56,76,10000,7.2,75,03-21-2023 11:00,06:08:12,18:20:54
Leyburn,light rain,11.46,10.93,87,10000,6.69,20,03-21-2023 11:30,06:08:12,18:20:54
Leyburn,broken clouds,11.68,10.76,71,10000,6.69,75,03-21-2023 12:00,06:08:12,18:20:54
Leyburn,broken clouds,11.8,10.89,71,10000,7.72,75,03-21-2023 12:30,06:08:12,18:20:54
Leyburn,broken clouds,11.29,10.62,82,10000,7.72,75,03-21-2023 13:00,06:08:12,18:20:54
Leyburn,broken clouds,11.2,10.36,76,10000,8.75,75,03-21-2023 13:30,06:08:12,18:20:54
Leyburn,broken clouds,11.3,10.47,76,10000,7.2,75,03-21-2023 13:59,06:08:12,18:20:54
Leyburn,broken clouds,11.43,10.48,71,10000,7.2,75,03-21-2023 14:29,06:08:12,18:20:54
Leyburn,scattered clouds,11.4,10.35,67,10000,9.26,40,03-21-2023 15:00,06:08:12,18:20:54
Leyburn,few clouds,11.54,10.5,67,10000,9.77,20,03-21-2023 15:30,06:08:12,18:20:54
Leyburn,light rain,11.46,10.41,67,10000,7.2,40,03-21-2023 16:00,06:08:12,18:20:54
Leyburn,scattered clouds,10.56,9.53,71,10000,6.69,40,03-21-2023 16:30,06:08:12,18:20:54
Leyburn,few clouds,10.37,9.45,76,10000,6.69,20,03-21-2023 17:00,06:08:12,18:20:54
Leyburn,broken clouds,10.48,9.44,71,10000,6.69,75,03-21-2023 17:30,06:08:12,18:20:54
Leyburn,broken clouds,10.27,9.21,71,10000,5.66,75,03-21-2023 18:00,06:08:12,18:20:54
Leyburn,broken clouds,9.88,6.59,76,10000,7.72,75,03-21-2023 18:30,06:08:12,18:20:54
Leyburn,light rain,9.65,6.16,71,10000,8.23,100,03-21-2023 19:00,06:08:12,18:20:54
Leyburn,overcast clouds,9.57,6.64,71,10000,6.17,100,03-21-2023 19:30,06:08:12,18:20:54
Leyburn,broken clouds,9.47,6.68,71,10000,5.66,75,03-21-2023 20:00,06:08:12,18:20:54
Leyburn,broken clouds,8.76,5.44,76,10000,6.69,75,03-21-2023 20:30,06:08:12,18:20:54
Leyburn,scattered clouds,8.88,5.59,76,10000,6.69,40,03-21-2023 21:00,06:08:12,18:20:54
Leyburn,light rain,8.75,5.27,81,10000,7.2,100,03-21-2023 21:30,06:08:12,18:20:54
Leyburn,light intensity drizzle,8.54,5.16,81,10000,6.69,100,03-21-2023 22:00,06:08:12,18:20:54
Leyburn,light rain,8.51,5.29,81,10000,6.17,100,03-21-2023 22:29,06:08:12,18:20:54
Leyburn,light rain,7.87,4.3,87,10000,6.69,75,03-21-2023 23:00,06:08:12,18:20:54
Leyburn,moderate rain,7.84,3.8,87,10000,8.23,40,03-21-2023 23:29,06:08:12,18:20:54
Leyburn,moderate rain,7.84,3.8,87,10000,8.23,100,03-21-2023 23:59,06:08:12,18:20:54
Leyburn,moderate rain,7.87,3.7,87,10000,8.75,100,03-22-2023 00:29,06:05:41,18:22:47
Leyburn,light rain,7.87,3.57,87,10000,9.26,100,03-22-2023 00:59,06:05:41,18:22:47
Leyburn,light rain,7.91,3.89,93,10000,8.23,100,03-22-2023 01:29,06:05:41,18:22:47
Leyburn,light intensity drizzle rain,8.51,4.41,87,10000,9.26,100,03-22-2023 01:59,06:05:41,18:22:47
Leyburn,moderate rain,9.11,4.86,76,10000,10.8,100,03-22-2023 02:29,06:05:41,18:22:47
Leyburn,moderate rain,9.33,5.05,76,10000,11.32,100,03-22-2023 02:59,06:05:41,18:22:47
Leyburn,overcast clouds,9.47,5.34,82,10000,10.8,100,03-22-2023 03:29,06:05:41,18:22:47
Leyburn,light rain,9.61,5.53,82,10000,10.8,40,03-22-2023 03:59,06:05:41,18:22:47
Leyburn,light rain,9.85,6.69,82,10000,7.2,100,03-22-2023 04:29,06:05:41,18:22:47
Leyburn,moderate rain,9.89,6.34,82,10000,8.75,100,03-22-2023 04:59,06:05:41,18:22:47
Leyburn,overcast clouds,9.35,5.9,87,10000,7.72,100,03-22-2023 05:29,06:05:41,18:22:47
Leyburn,overcast clouds,8.81,4.81,82,9000,9.26,100,03-22-2023 05:59,06:05:41,18:22:47
Leyburn,broken clouds,8.48,3.81,66,10000,11.83,75,03-22-2023 06:29,06:05:41,18:22:47
Leyburn,overcast clouds,7.63,3.67,66,10000,7.72,100,03-22-2023 06:59,06:05:41,18:22:47
Leyburn,broken clouds,6.95,2.79,66,10000,7.72,75,03-22-2023 07:29,06:05:41,18:22:47
Leyburn,clear sky,7.24,3.49,71,10000,6.69,8,03-22-2023 07:59,06:05:41,18:22:47
Leyburn,clear sky,7.67,3.44,66,10000,8.75,8,03-22-2023 08:29,06:05:41,18:22:47
Leyburn,few clouds,8.31,4.03,66,10000,9.77,20,03-22-2023 08:59,06:05:41,18:22:47
Leyburn,few clouds,8.59,4.4,66,10000,9.77,20,03-22-2023 09:29,06:05:41,18:22:47
Leyburn,few clouds,8.91,4.7,62,10000,10.29,20,03-22-2023 09:59,06:05:41,18:22:47
