name,description,temp,tempf,humidity,visibility,windspeed,clouds,time,sunrise,sunset
Rochdale,overcast clouds,13.19,12.5,74,10000,0.45,95,03-17-2023 13:59,06:19:28,18:14:46
Rochdale,overcast clouds,13.64,12.94,72,10000,0.89,95,03-17-2023 14:29,06:19:28,18:14:46
Rochdale,overcast clouds,13.6,12.77,67,10000,1.34,95,03-17-2023 14:59,06:19:28,18:14:46
Rochdale,overcast clouds,13.78,13.04,70,10000,0.89,95,03-17-2023 15:29,06:19:28,18:14:46
Rochdale,overcast clouds,13.34,12.66,74,10000,0.45,96,03-17-2023 15:55,06:19:28,18:14:46
Rochdale,overcast clouds,13.66,12.91,70,10000,0.45,96,03-17-2023 16:29,06:19:28,18:14:46
Rochdale,overcast clouds,13.04,12.28,72,10000,2.59,97,03-17-2023 16:59,06:19:28,18:14:46
Rochdale,overcast clouds,12.68,11.96,75,10000,1.34,97,03-17-2023 17:29,06:19:28,18:14:46
Rochdale,broken clouds,12.38,11.55,72,10000,0.45,72,03-17-2023 17:59,06:19:28,18:14:46
Rochdale,broken clouds,11.78,10.95,74,10000,2.37,72,03-17-2023 18:29,06:19:28,18:14:46
Rochdale,overcast clouds,11.49,10.47,68,10000,2.05,98,03-17-2023 18:59,06:19:28,18:14:46
Rochdale,overcast clouds,11.29,10.51,78,10000,2.05,98,03-17-2023 19:29,06:19:28,18:14:46
Rochdale,overcast clouds,10.92,10.16,80,10000,0.89,98,03-17-2023 19:59,06:19:28,18:14:46
Rochdale,light rain,10.75,10.02,82,10000,0.45,98,03-17-2023 20:29,06:19:28,18:14:46
Rochdale,overcast clouds,10.38,9.72,86,10000,1.98,99,03-17-2023 20:59,06:19:28,18:14:46
Rochdale,moderate rain,10.09,9.37,85,10000,1.98,99,03-17-2023 21:29,06:19:28,18:14:46
Rochdale,light rain,10.09,9.43,87,10000,1.41,99,03-17-2023 21:59,06:19:28,18:14:46
Rochdale,light rain,10.05,9.43,89,10000,1.41,99,03-17-2023 22:29,06:19:28,18:14:46
Rochdale,overcast clouds,10.05,9.43,89,10000,1.67,99,03-17-2023 22:59,06:19:28,18:14:46
Rochdale,light rain,9.9,9.34,89,10000,1.7,100,03-17-2023 23:29,06:19:28,18:14:46
Rochdale,light rain,10,9.19,90,10000,2,97,03-17-2023 23:59,06:19:28,18:14:46
Rochdale,overcast clouds,10.06,9.47,90,10000,0.45,97,03-18-2023 00:29,06:17:01,18:16:36
Rochdale,overcast clouds,10.06,9.47,90,10000,1.9,98,03-18-2023 00:59,06:17:01,18:16:36
Rochdale,light rain,9.87,9.12,90,10000,1.9,98,03-18-2023 01:29,06:17:01,18:16:36
Rochdale,light rain,9.74,9.18,94,10000,1.67,98,03-18-2023 01:59,06:17:01,18:16:36
Rochdale,light rain,9.76,9.76,91,10000,0.89,98,03-18-2023 02:29,06:17:01,18:16:36
Rochdale,overcast clouds,9.75,9.75,92,10000,0.89,99,03-18-2023 02:59,06:17:01,18:16:36
Rochdale,overcast clouds,9.75,9.31,92,10000,1.55,99,03-18-2023 03:29,06:17:01,18:16:36
Rochdale,overcast clouds,9.71,9.71,92,10000,0.45,99,03-18-2023 03:59,06:17:01,18:16:36
Rochdale,overcast clouds,9.66,9.21,92,10000,1.55,99,03-18-2023 04:29,06:17:01,18:16:36
Rochdale,overcast clouds,9.49,9.49,92,10000,0.45,99,03-18-2023 04:59,06:17:01,18:16:36
Rochdale,light rain,9.48,9.48,92,10000,0.45,99,03-18-2023 05:29,06:17:01,18:16:36
Rochdale,light rain,9.32,8.71,92,10000,1.66,99,03-18-2023 06:00,06:17:01,18:16:36
Rochdale,broken clouds,9.14,8.31,95,10000,1.86,74,03-18-2023 06:30,06:17:01,18:16:36
Rochdale,broken clouds,9.14,8.64,95,10000,1.53,83,03-18-2023 07:00,06:17:01,18:16:36
